day,ID,mean_WP1,mean_WP2
123,MENA3,7.226365983,10.45556293
124,MENA3,7.548878519,10.60318254
125,MENA3,7.813477003,10.65148315
126,MENA3,8.049486978,10.61153731
127,MENA3,8.269190277,9.703914452
128,MENA3,8.38431782,10.07046957
129,MENA3,8.489163082,10.39995286
130,MENA3,8.430948031,9.303339613
131,MENA3,5.475427278,4.400722853
132,MENA3,5.681910444,8.427343318
133,MENA3,6.100796495,8.828012534
134,MENA3,6.611167865,9.221489419
135,MENA3,7.041972918,9.669144
136,MENA3,7.369971056,9.568612704
137,MENA3,6.95803373,8.460530406
138,MENA3,6.91913612,8.638208573
139,MENA3,7.296223992,8.685108896
140,MENA3,5.497936136,6.308698177
141,MENA3,5.054380723,6.225836199
142,MENA3,4.731433866,6.202928647
143,MENA3,5.116775271,6.716141419
144,MENA3,4.936547476,6.300482709
145,MENA3,4.808953174,5.938009863
146,MENA3,5.579965483,6.42492662
147,MENA3,5.984839204,6.283518011
148,MENA3,6.327372174,6.327906778
149,MENA3,6.741205332,6.859079274
150,MENA3,7.144619766,7.124302826
151,MENA3,7.495841832,7.003206568
152,MENA3,7.739072685,7.789601712
153,MENA3,7.966618324,8.188553503
154,MENA3,8.159595653,7.924287088
155,MENA3,8.258560998,7.634686867
156,MENA3,8.414529264,7.796570948
157,MENA3,8.555605934,8.231572102
158,MENA3,8.712400433,8.322167102
159,MENA3,8.885527438,8.618241022
160,MENA3,9.085235181,8.926196943
161,MENA3,9.419217978,8.887153
162,MENA3,9.601987077,11.59790746
163,MENA3,9.686943728,13.28783005
164,MENA3,9.938979532,13.0612335
165,MENA3,10.22097253,13.77328079
166,MENA3,10.40697807,14.62665206
167,MENA3,10.55830571,14.94402077
168,MENA3,10.20593969,13.79286099
169,MENA3,9.68630582,12.22118834
170,MENA3,9.579567327,11.98315407
171,MENA3,9.780728343,11.70633243
172,MENA3,10.08064249,11.90324742
173,MENA3,10.3991457,11.8941019
174,MENA3,10.74095593,12.33790241
175,MENA3,11.15734897,12.50410089
176,MENA3,11.5201855,12.81136389
177,MENA3,11.89383732,13.40509689
178,MENA3,12.35083548,13.60701681
179,MENA3,12.96871928,12.99567499
180,MENA3,13.59358819,12.68005224
181,MENA3,14.19101108,13.15629436
182,MENA3,14.88143122,13.31905019
183,MENA3,15.55309807,13.87861338
184,MENA3,16.23407379,14.78210309
185,MENA3,16.86951931,15.98699115
186,MENA3,17.5978206,17.2988977
187,MENA3,18.38344984,19.21578835
188,MENA3,19.21060963,16.41306766
189,MENA3,19.72310873,17.38785168
190,MENA3,20.29869161,18.51726274
191,MENA3,20.67962635,18.81460877
192,MENA3,20.23387087,17.09530484
193,MENA3,7.184636982,11.66629635
194,MENA3,7.515153981,10.60718721
195,MENA3,7.016788844,9.731423538
196,MENA3,8.117982965,11.94019475
197,MENA3,9.30861939,13.54671325
198,MENA3,10.07191196,13.92155556
199,MENA3,10.47196962,14.05083022
200,MENA3,NA,NA
201,MENA3,NA,NA
202,MENA3,NA,NA
203,MENA3,NA,NA
204,MENA3,NA,NA
205,MENA3,NA,NA
206,MENA3,NA,NA
207,MENA3,NA,NA
208,MENA3,NA,NA
209,MENA3,NA,NA
210,MENA3,NA,NA
211,MENA3,18.50211583,15.74892874
212,MENA3,19.13603349,16.31972241
213,MENA3,20.10908954,17.51883683
214,MENA3,21.09188381,20.09116997
215,MENA3,22.23215426,22.43069377
216,MENA3,23.48787519,24.95903254
217,MENA3,24.78547143,28.58157882
218,MENA3,26.29076361,32.02202926
219,MENA3,27.90625,35.61008778
220,MENA3,29.35606977,40.77294553
221,MENA3,24.83045615,39.59562314
222,MENA3,7.01137355,22.75666014
223,MENA3,6.872694149,20.32943975
224,MENA3,8.703217986,20.38287942
225,MENA3,9.906671565,19.7561362
226,MENA3,10.73093298,18.92009514
227,MENA3,11.53626987,18.69151579
228,MENA3,12.43150615,17.97628784
229,MENA3,13.51767479,17.99286694
230,MENA3,14.69687271,18.42819932
231,MENA3,15.83235977,18.27606777
232,MENA3,11.67449316,15.58857508
233,MENA3,11.78093806,18.11689636
234,MENA3,13.32855568,18.30439097
235,MENA3,14.86598322,18.62982906
236,MENA3,15.9016759,18.60071187
237,MENA3,16.69088617,17.94497029
238,MENA3,17.7348107,18.85021643
239,MENA3,18.84879177,19.7271617
240,MENA3,20.01174268,20.73707085
241,MENA3,21.18022742,21.51856201
242,MENA3,22.49769795,23.11211417
243,MENA3,23.81566939,24.7502074
244,MENA3,25.10626153,26.48256362
123,LENA3,NA,NA
124,LENA3,NA,NA
125,LENA3,NA,NA
126,LENA3,NA,NA
127,LENA3,NA,NA
128,LENA3,NA,NA
129,LENA3,NA,NA
130,LENA3,NA,NA
131,LENA3,1.469519726,1.161318024
132,LENA3,1.536211821,1.069725893
133,LENA3,1.610466565,1.015014847
134,LENA3,1.683194479,0.974560698
135,LENA3,1.739194289,0.967760958
136,LENA3,1.790995781,0.964219879
137,LENA3,1.812485909,0.961414591
138,LENA3,1.848217281,0.951484184
139,LENA3,1.894143843,0.943576668
140,LENA3,1.423635654,1.222117759
141,LENA3,1.309148236,1.269409926
142,LENA3,1.240225837,1.29633959
143,LENA3,1.292511881,1.259439209
144,LENA3,1.215299933,1.308357353
145,LENA3,1.146194761,1.31651403
146,LENA3,1.354670039,1.167798566
147,LENA3,1.45607463,1.090361551
148,LENA3,1.509505436,1.039164854
149,LENA3,1.54866798,1.006510488
150,LENA3,1.568929525,0.989907589
151,LENA3,1.581149231,0.991750952
152,LENA3,1.622615945,0.96955014
153,LENA3,1.668911702,0.9657423
154,LENA3,1.719154449,0.959232841
155,LENA3,1.778292631,0.928665535
156,LENA3,1.850562157,0.907677093
157,LENA3,1.927226388,0.899617291
158,LENA3,2.017951044,0.891710246
159,LENA3,2.121056358,0.88667164
160,LENA3,2.236481281,0.925348709
161,LENA3,2.31353034,0.966412689
162,LENA3,2.391974033,0.979369305
163,LENA3,2.36184038,1.016754329
164,LENA3,2.394982858,0.983464655
165,LENA3,2.485839751,0.982078225
166,LENA3,2.562921699,0.991652053
167,LENA3,2.586380564,0.98707539
168,LENA3,2.488068688,1.022668316
169,LENA3,2.365076259,0.914559271
170,LENA3,2.428944255,0.896591873
171,LENA3,2.491142009,0.877499167
172,LENA3,2.580146657,0.86770774
173,LENA3,2.706265962,0.89817534
174,LENA3,2.857046565,0.961086963
175,LENA3,3.060310676,0.993288719
176,LENA3,3.286317173,1.093000873
177,LENA3,3.45606044,1.143206476
178,LENA3,3.654081397,1.177434767
179,LENA3,3.911991684,1.286971263
180,LENA3,4.252088561,1.348923751
181,LENA3,4.686033821,1.367154715
182,LENA3,5.151668755,1.413241051
183,LENA3,5.719017309,1.457013868
184,LENA3,6.376721148,1.511167058
185,LENA3,7.084920012,1.552447874
186,LENA3,7.91039085,1.602775704
187,LENA3,8.828506796,1.62206122
188,LENA3,9.533577216,1.541650714
189,LENA3,10.08956202,1.511187626
190,LENA3,10.57598711,1.553071218
191,LENA3,11.0661351,1.574640081
192,LENA3,11.1929498,1.522627013
193,LENA3,2.504856934,1.662531337
194,LENA3,2.336343059,1.459442775
195,LENA3,2.205414109,1.062558932
196,LENA3,2.434160661,1.044445225
197,LENA3,2.72931832,1.044720476
198,LENA3,3.071112015,1.037958487
199,LENA3,3.397346004,1.110677779
200,LENA3,3.53237703,1.184294292
201,LENA3,3.631492184,1.151121831
202,LENA3,3.92779394,1.23574752
203,LENA3,4.291847125,1.256981499
204,LENA3,4.734295608,1.274473814
205,LENA3,5.266006218,1.29538772
206,LENA3,5.606579845,1.345848507
207,LENA3,NA,NA
208,LENA3,NA,NA
209,LENA3,NA,NA
210,LENA3,NA,NA
211,LENA3,10.67797371,1.677742997
212,LENA3,11.475145,1.728226371
213,LENA3,12.75941651,1.786699602
214,LENA3,14.08359951,1.834654645
215,LENA3,15.1653247,1.87608441
216,LENA3,16.25092466,1.942467588
217,LENA3,17.48114641,2.139203864
218,LENA3,18.16570054,2.24747759
219,LENA3,18.75785976,2.281028325
220,LENA3,19.93715655,2.32634222
221,LENA3,20.59435781,2.119227041
222,LENA3,11.96842515,1.25889876
223,LENA3,4.245108412,1.242560098
224,LENA3,4.493246072,1.319905059
225,LENA3,5.009171304,1.351396666
226,LENA3,5.584771471,1.372394882
227,LENA3,6.216189683,1.456359016
228,LENA3,6.94011829,1.5600635
229,LENA3,7.752765483,1.718751553
230,LENA3,8.711325164,1.799562956
231,LENA3,9.669492228,1.877340441
232,LENA3,10.62425883,1.820413207
233,LENA3,11.38262105,1.861914903
234,LENA3,12.06734393,1.929777492
235,LENA3,13.0439961,2.004063563
236,LENA3,14.26079459,2.087242407
237,LENA3,15.01527645,2.158589861
238,LENA3,16.00646602,2.23039568
239,LENA3,16.88987006,2.300532701
240,LENA3,17.6347328,2.399234001
241,LENA3,18.35285219,2.500373862
242,LENA3,19.31328214,2.687905161
243,LENA3,19.86082663,2.773329655
244,LENA3,20.31344239,2.905035075
